Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Global Environment Facility (GEF5);Multilateral;Armenia;Europe & Central Asia;Upper middle income;GEF UNIDO Cleantech Programme for SMEs;Mitigation - General;Industry;DAC321_;Energy efficiency;SMEs;UNIDO;"Ministry of Nature Protection; Ministry of Energy and Natural Resources; Ministry of Agriculture; SME Development National Center of Armenia";;2013;2017;;0,55;;;0,55;0,55;;;
Global Environment Facility (GEF5);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Armenia's First Biennial Update Report 2014 to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Nature Protection;;2014;2017;;0,35;;;0,35;0,35;;;
Global Environment Facility (GEF5);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Green Urban Lighting;Mitigation - General;Unallocated / Unspecified;DAC998_;Energy efficiency;Urban;UNDP;Municipality of Yerevan and other main cities, Ministry of Nature Protection;;2012;2015;;1,6;;;1,6;1,6;;;
Global Environment Facility (GEF6);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Development of Armenia's Fourth National Communication to the UNFCCC and Second Biennial Report;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2016;;;0,85;;;0,85;0,85;;;
Global Environment Facility (GEF8);Multilateral;Algeria;Middle East & North Africa;Upper middle income;Support to the elaboration of the First Biennial Transparency Report (BTR1), the combined Second Biennial Transparency and the Fourth National Communication report (BTR2/NC4) of Algeria to the UNFCCC;Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;transparency, UNFCCC, Paris agreement;UNDP;Ministry of Environment and Renewable Energy of AlgeriaUNDP;Government;2024;;;1,23;;;1,23;;;;
Global Environment Facility (GEF8);Multilateral;Angola;Sub-Saharan Africa;Lower middle income;Integrated conservation of the Maiombe forest ecosystem in Cabinda Province Angola;Mitigation - General;General environment protection;DAC410_;Biosphere protection;forest protection;Conservation International;Ministry of Environment;Government;2023;;;4,15;;;4,15;;LDC;;
Global Environment Facility (GEF7);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;Antigua and Barbuda Sustainable Low-Emission Island Mobility Project;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;Mobility, Transport, Electricity;UNEP;Department of Environment, Ministry of Health and the Environment;Government;2020;;;3,25;;;3,25;;;SIDS - Caribbean;
Global Environment Facility (GEF8);Multilateral;Argentina;Latin America & Caribbean;High income;Accelerating low-emission and resilient community energy in Argentina;Multiple foci;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;grids, low-emission;UNEP;National organization;;2024;;;4,7;;;4,7;;;;
Global Environment Facility (GEF7);Multilateral;Argentina;Latin America & Caribbean;High income;Argentine Republicís Fourth Biennial Update Report (BUR);Multiple foci;Unallocated / Unspecified;DAC998_;Environmental research;Transparency, UNFCCC;UNDP;Ministry of Environment and Sustainable Development (Ministerio de Ambiente y Desarrollo Sostenible);Government;2022;;;0,35;;;0,35;;;;
Global Environment Facility (GEF8);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Development of the First Biennial Transparency Report and the combined Fifth National Communication and Second Biennial Transparency Report of Armenia to the UNFCCC;Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;transparency, UNFCCC, Paris agreement;UNDP;Hydrometeorology and Monitoring Center SNCO of Ministry of Environment of the Republic of Armenia;Government;2023;;;1,23;;;1,23;;;;
Global Environment Facility (GEF8);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Armenia Integrated Resilient Landscape Improvement Project (AIR LIP);Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;forests, pastures, management;World Bank;Ministry of Environment - Environmental Project Implementation Unit;Government;2024;;;5,45;;;5,45;;;;
Global Environment Facility (GEF7);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Transition Towards Electric Mobility in Armenia;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;Mobility, Transport, Electricity;UNEP;Ministry of Environment;Government;2020;;;0,59;;;0,59;;;;
Global Environment Facility (GEF7);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Building Armenia's national transparency framework under Paris Agreement;Mitigation - General;General Environment Protection;DAC410_;Environmental policy and administrative management;Paris Agreement;UNDP;Ministry of Nature Protection;;2019;;;0,99;;;0,99;;;;
Global Environment Facility (GEF7);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Armenia's Third Biennial Update Report to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Nature Protection;;2019;2022;;0,35;;;0,35;0,35;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Geothermal Exploratory Drilling Project (GEDP);Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal;Geothermal;IBRD;;;2015;;;6,3;;;6,3;6,3;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Armenia;Europe & Central Asia;Upper middle income;RFS: Caucasus Green Economy Financing Facility (GEFF) ñ SREP Armenia Renewable Energy Grant Support ;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;EBRD;;Private sector;2023;;;11,01;;;11,01;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Caucasus Green Economy Financing Facility (GEFF);Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;EBRD;;Private sector;2020;;;2,25;;;2,25;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Caucasus Green Economy Financing Facility (GEFF) - SREP Armenia Renewable Energy Grant Support;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;EBRD;Private sector;Private sector;2016;;;3;;;3;;;;
Global Environment Facility (GEF5);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Nationally Appropriate Mitigation Actions (NAMAs) for Low-carbon End-use Sectors in Azerbaijan;Mitigation - General;Industry;DAC321_;Energy efficiency;Industrial;UNDP;Ministry of Ecology and Natural Resources (MENR), SOCAR, National Climate Change Center;;2014;2022;;3,57;;;3,57;3,57;;;
Global Environment Facility (GEF5);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Azerbaijan's First Biennial Update Report;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Ecology and Natural Resources;;2013;2017;;0,32;;;0,32;0,32;;;
Global Environment Facility (GEF6);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;"Development of Azerbaijanís Fourth National Communication to the UNFCCC and Second Biennial Reporting	";Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;Reporting;UNDP;Ministry of Ecology and Natural Resources;;2017;;;0,85;;;0,85;0,85;;;
Global Environment Facility (GEF6);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Forest Resources Assessment and Monitoring to Strengthen Forest Knowledge Framework in Azerbaijan;Mitigation - REDD;General environment protection;DAC410_;Environmental policy and administrative management;forest resources assessment;FAO;Forestry Department of the Ministry of Ecology and Natural Resources;;2018;;;1,48;;;1,48;;;;
Global Environment Facility (GEF8);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Transition towards low and no-emission Electric Mobility in Azerbaijan;Multiple Foci;Transport & Storage;DAC210_;Transport policy and administrative management;;UNEP;Ministry of Energy of Azerbaijan;Government;2023;;;3;;;3;;;;
Global Environment Facility (GEF7);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Scaling up investment in energy efficiency in buildings through enhanced energy management information system (EMIS) and green social housing;Mitigation - General;Energy;DAC230_;;Energy efficiency in buildings;UNDP;Ministry of Ecology and Natural Resources;Government;2020;;;4,52;;;4,52;;;;
Special Climate Change Fund (SCCF);Multilateral;Azerbaijan;Europe & Central Asia;Upper middle income;Integrating climate change risks into water and flood management by vulnerable mountainous communities in the Greater Caucasus region of Azerbaijan  ;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of Ecology and Natural Resources;;2011;2017;;2,7;;;2,7;2,7;;;
Global Environment Facility (GEF4);Multilateral;Bahamas;Latin America & Caribbean;High income;Promoting Sustainable Energy in the Bahamas;Mitigation - General;Energy;DAC230_;Sustainable energy;;IADB;MINISTRY OF ENVIRONMENT OF THE BAHAMAS;;2009;2014;;1;;;1;1;;SIDS - Caribbean;
Global Environment Facility (GEF6);Multilateral;Bahamas;Latin America & Caribbean;High income;Meeting the Challenge of 2020 in The Bahamas;Multiple Foci;General environment protection;DAC410_;Coastal management;coastal protection, ecosystem management, biodiversity;UNEP;BEST Commission, Department of Marine Resources (DMR), Bahamas National Trust (BNT), The Nature Conservancy (TNC), Department of Agriculture;;2018;;;6,24;;;6,24;;;SIDS - Caribbean;
Global Environment Facility (GEF7);Multilateral;Bahamas;Latin America & Caribbean;High income;Building The Bahamas capacity in transparency for climate change mitigation and adaptation;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;Paris Agreement;UNEP;"Bahamas Environment, Science &amp; Technology (BEST) Commission";;2021;;;1,35;;;1,35;;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Morocco;Middle East & North Africa;Lower middle income;(FP022) Development of Argan Orchards in Degraded Environment;Multiple foci;General environment protection;DAC410_;Environmental policy and administrative management;;ADA (Agency for Agricultural Development) Morocco;National Agency for the Development of Oases and Argan Zones (ANDZOA);;2016;2022;;39,29;;;39,29;30;;;
Adaptation Fund (AF);Multilateral;Bangladesh;South Asia;Lower middle income;Adaptation Initiative for Climate Vulnerable Offshore Small Islands and Riverine Charland in Bangladesh;Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;Coastal islands, climate resilience;UN Development Programme;Department of Environment, Ministry of Environment, Forest and Climate Change;National Government;2019;2024;;10;;;10;2,59;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Argentina;Latin America & Caribbean;High income;TAF: Enhancing Energy Sector Contribution to the Green and Resilient Economic Recovery;Adaptation;Energy;DAC230_;;;IADB;Public sector;;2022;;;0,18;;;0,18;0,11;;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;Coastal towns infrastructure improvement project;Adaptation;Other Multisector;DAC430_;Disaster prevention and preparedness;;ADB;Ministry of Local Government, Rural Development and Cooperatives;National Government;2013;;30;10,4;;;40,4;35,67;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;Coastal Climate Resilient Infrastructure Project;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Knowledge, capacity Building, local government capacity;ADB;LGED, Local Government Division of Ministry of Local Government, Rural Development, and Cooperatives;National Government;2012;;18,26;9,44;;;27,7;27,7;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;Coastal Embankments Improvement Project Phase I (CEIP-I);Adaptation;Other Multisector;DAC430_;General environment protection;Capacity building, coastal protection, flood protection, agriculture ;IBRD;Bangladesh Water Development Board;National Agency;2013;;;25;;;25;25;LDC;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Bangladesh;South Asia;Lower middle income;Scaling Up Renewable Energy;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;IBRD;;;2017;;26,38;2,87;;;29,25;6,17;LDC;;
Clean Technology Fund (CTF);Multilateral;Bangladesh;South Asia;Lower middle income;GESP : Electricity Distribution Modernization Program;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;IBRD;Public / Private Sector;;2022;;;15,35;;;15,35;3,75;LDC;;
Clean Technology Fund (CTF);Multilateral;Bangladesh;South Asia;Lower middle income;BDF: Renewable Energy Investment Program;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;ADB;Public Sector;;2018;;;0,42;;;0,42;0,35;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;Climate Smart SME Financing;Adaptation;Banking & Financial Services;DAC240_;Environmental policy and administrative management;Knowledge, Capacity Building;IFC;IFC;;2015;;10;;;;10;;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;"Investment Project 1 ""Promoting Climate Resilient Agriculture and Food Security""";Adaptation;Agriculture;DAC311_;Agricultural Development;;ADB;IFC;National Government;2013;;;3,1;;;3,1;;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Bangladesh;South Asia;Lower middle income;Feasibility Study for a Pilot Program of Climate Resilient Housing in the Coastal Region (Technical Assistance Project 2);Adaptation;Other Multisector;DAC430_;Housing policy and administrative management;;IFC;IFC;National Government;2013;;;0,4;;;0,4;;LDC;;
